Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-05-18 12:56:17.097682,,,initialize,0
2026-05-18 13:16:36.376376,,,block_start,0
2026-05-18 13:16:42.948109,,,start,0
2026-05-18 13:16:53.121078,,,exit,0
2026-05-18 13:16:55.709372,,,block_end,0
2026-05-18 13:16:55.739728,,,imaging_stop,0
2026-05-18 13:21:36.057722,,,block_start,0
2026-05-18 13:21:40.407639,,,start,43
2026-05-18 13:21:40.409508,,,start,43
2026-05-18 13:21:52.610945,,,exit,164
2026-05-18 13:21:54.197804,,,block_end,180
2026-05-18 13:22:16.090750,,,initialize,84
2026-05-18 13:25:36.083904,,,block_start,0
2026-05-18 13:25:45.430646,,,start,93
2026-05-18 13:26:44.624323,,,exit,680
2026-05-18 13:26:48.719813,,,block_end,721
2026-05-18 13:28:14.206595,,,initialize,714
2026-05-18 13:28:32.337813,,,block_start,0
2026-05-18 13:28:35.723656,,,start,34
2026-05-18 13:29:03.907938,,,exit,314
2026-05-18 13:29:05.998340,,,block_end,334
2026-05-18 13:32:06.623150,,,initialize,77
2026-05-18 13:37:40.381306,,,block_start,0
2026-05-18 13:37:42.974248,,,start,26
2026-05-18 13:40:46.042192,,,eat,1844
2026-05-18 13:40:58.599004,,,start,1968
2026-05-18 13:41:15.298111,,,eat,2134
2026-05-18 13:41:23.540959,,,start,2139
2026-05-18 13:41:28.455207,,,exit,2139
2026-05-18 13:41:31.551749,,,block_end,2139
2026-05-18 13:41:31.582391,,,imaging_stop,2139
2026-05-18 14:01:00.671554,,,block_start,0
2026-05-18 14:01:04.899898,,,start,0
2026-05-18 14:01:04.901425,,,start,0
2026-05-18 14:03:43.206618,,,exit,0
2026-05-18 14:03:44.799788,,,block_end,0
2026-05-18 14:03:44.829862,,,imaging_stop,0
2026-05-18 14:09:36.792525,,,block_start,0
2026-05-18 14:09:45.315736,,,start,0
2026-05-18 14:09:45.317514,,,start,0
2026-05-18 14:09:55.416881,,,exit,0
2026-05-18 14:09:57.504829,,,block_end,0
2026-05-18 14:09:57.535084,,,imaging_stop,0
2026-05-18 14:10:22.215878,,,initialize,0
2026-05-18 14:10:27.811600,,,block_start,0
2026-05-18 14:10:36.514027,,,start,0
2026-05-18 14:10:36.516382,,,start,0
2026-05-18 14:10:51.558507,,,exit,0
2026-05-18 14:10:53.643932,,,block_end,0
2026-05-18 14:10:53.674147,,,imaging_stop,0
2026-05-18 14:13:53.461999,,,initialize,0
2026-05-18 14:15:00.187339,,,block_start,0
2026-05-18 14:15:03.685812,,,start,0
2026-05-18 14:17:46.517331,,,exit,0
2026-05-18 14:17:49.111294,,,block_end,0
2026-05-18 14:17:49.141858,,,imaging_stop,0
2026-05-18 14:28:36.185403,,,block_start,0
2026-05-18 14:28:38.019916,,,start,0
2026-05-18 14:28:41.005343,,,eat,0
2026-05-18 14:29:10.581560,,,start,0
2026-05-18 14:29:57.913004,,,eat,0
2026-05-18 14:30:14.446463,,,start,0
2026-05-18 14:30:15.553809,,,exit,0
2026-05-18 14:30:17.643307,,,block_end,0
2026-05-18 14:30:17.673818,,,imaging_stop,0
2026-05-18 14:43:01.453803,,,block_start,0
2026-05-18 14:43:04.501538,,,start,0
2026-05-18 14:43:59.945376,,,eat,0
2026-05-18 14:44:22.903941,,,start,0
2026-05-18 14:45:03.193923,,,exit,0
2026-05-18 14:45:04.278414,,,block_end,0
2026-05-18 14:45:04.308927,,,imaging_stop,0
2026-05-18 14:59:27.293087,,,block_start,0
2026-05-18 14:59:29.821983,,,start,0
2026-05-18 14:59:29.823675,,,start,0
2026-05-18 15:00:47.972910,,,exit,0
2026-05-18 15:00:48.063990,,,block_end,0
2026-05-18 15:00:48.095136,,,imaging_stop,0
2026-05-18 15:01:47.607552,,,initialize,0
2026-05-18 15:04:09.476332,,,block_start,0
2026-05-18 15:04:12.250416,,,start,0
2026-05-18 15:04:31.199241,,,eat,0
2026-05-18 15:04:47.430326,,,start,0
2026-05-18 15:05:13.111953,,,eat,0
2026-05-18 15:05:49.858897,,,start,0
2026-05-18 15:07:17.081290,,,drink,0
2026-05-18 15:07:18.911606,,,start,0
2026-05-18 15:08:58.222641,,,exit,0
2026-05-18 15:08:59.308923,,,block_end,0
2026-05-18 15:08:59.343790,,,imaging_stop,0
2026-05-18 15:09:55.990610,,,initialize,0
2026-05-18 15:23:18.686985,,,block_start,0
2026-05-18 15:23:20.400670,,,start,0
2026-05-18 15:23:20.402330,,,start,0
2026-05-18 15:29:00.579210,,,eat,0
2026-05-18 15:29:47.218986,,,start,0
2026-05-18 15:31:00.700669,,,eat,0
2026-05-18 15:31:46.251331,,,start,0
2026-05-18 15:34:16.120449,,,exit,0
2026-05-18 15:34:17.706438,,,block_end,0
2026-05-18 15:34:17.737828,,,imaging_stop,0
2026-05-18 15:35:04.971730,,,initialize,0
2026-05-18 15:39:46.128097,,,block_start,0
2026-05-18 15:39:47.447322,,,start,0
2026-05-18 15:39:47.449320,,,start,0
2026-05-18 15:44:09.991346,,,eat,0
2026-05-18 15:44:47.771331,,,start,0
2026-05-18 15:48:32.657882,,,eat,2
2026-05-18 15:49:20.399816,,,start,2
2026-05-18 15:51:10.734113,,,drink,2
2026-05-18 15:51:15.302234,,,start,2
2026-05-18 15:53:27.335287,,,exit,2
2026-05-18 15:53:28.427766,,,block_end,2
2026-05-18 15:53:28.458980,,,imaging_stop,2
2026-05-18 15:53:55.548232,,,initialize,0
2026-05-18 15:54:15.182820,,,block_start,0
2026-05-18 15:54:16.564300,,,start,0
2026-05-18 15:54:21.237875,,,exit,0
2026-05-18 15:54:22.320416,,,block_end,0
2026-05-18 15:54:22.350757,,,imaging_stop,0
2026-05-18 16:07:12.965875,,,initialize,0
2026-05-18 16:09:51.293606,,,initialize,0
2026-05-18 16:13:38.566246,,,initialize,0
2026-05-18 16:20:02.099754,,,initialize,0
2026-05-18 16:21:40.554112,,,initialize,0
2026-05-19 13:41:33.398921,,,initialize,0
2026-05-19 14:04:31.605605,,,block_start,0
2026-05-19 14:04:36.369574,,,start,22
2026-05-19 14:05:14.792239,,,eat,403
2026-05-19 14:05:51.522578,,,start,768
2026-05-19 14:08:50.853230,,,eat,2549
2026-05-19 14:10:00.476963,,,start,3240
2026-05-19 14:10:46.629648,,,eat,3699
2026-05-19 14:10:54.671595,,,start,3778
