Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-13 15:16:51.019657,,,initialize
2026-03-13 15:20:00.486269,,,block_start
2026-03-13 15:20:50.667892,,,start
2026-03-13 15:21:04.715001,,,drink
2026-03-13 15:21:08.793334,,,start
2026-03-13 15:21:24.236095,,,drink
2026-03-13 15:21:27.199164,,,start
2026-03-13 15:21:41.500254,,,drink
2026-03-13 15:21:46.029050,,,start
2026-03-13 15:22:49.177921,,,exit
2026-03-13 15:22:52.767516,,,block_end
2026-03-13 15:25:35.713370,,,block_start
2026-03-13 15:26:12.864247,,,start
2026-03-13 15:26:12.865761,,,start
2026-03-13 15:26:16.494856,,,drink
2026-03-13 15:26:34.843464,,,start
2026-03-13 15:27:06.195769,,,drink
2026-03-13 15:27:28.653371,,,start
2026-03-13 15:27:51.325389,,,exit
2026-03-13 15:27:54.924240,,,block_end
2026-03-13 15:28:37.625407,,,block_start
2026-03-13 15:29:53.324806,,,start
2026-03-13 15:31:03.573136,,,drink
2026-03-13 15:31:10.913903,,,start
2026-03-13 15:31:28.728447,,,drink
2026-03-13 15:31:40.883668,,,start
2026-03-13 15:33:35.826909,,,exit
2026-03-13 15:33:40.920947,,,block_end
2026-03-13 15:34:02.073532,,,block_start
2026-03-13 15:34:25.601952,,,start
2026-03-13 15:35:27.404595,,,exit
2026-03-13 15:35:33.506806,,,block_end
2026-03-13 15:35:54.167815,,,block_start
2026-03-13 15:36:00.738192,,,start
2026-03-13 15:36:00.739628,,,start
2026-03-13 15:36:19.176343,,,exit
2026-03-13 15:36:22.274245,,,block_end
2026-03-13 15:38:53.191508,,,block_start
2026-03-13 15:38:59.710382,,,start
2026-03-13 15:38:59.711967,,,start
2026-03-13 15:39:37.965685,,,exit
2026-03-13 15:39:42.057889,,,block_end
2026-03-13 15:40:57.830075,,,block_start
2026-03-13 15:40:59.882790,,,start
2026-03-13 15:40:59.884266,,,start
2026-03-13 15:41:09.301140,,,drink
2026-03-13 15:41:12.683368,,,start
2026-03-13 15:42:35.037013,,,drink
2026-03-13 15:42:38.101649,,,start
2026-03-13 15:44:11.297365,,,exit
2026-03-13 15:44:12.382396,,,block_end
2026-03-13 15:45:36.663335,,,block_start
2026-03-13 15:45:43.823569,,,start
2026-03-13 15:46:25.202895,,,eat
2026-03-13 15:48:25.914398,,,start
2026-03-13 15:48:59.747766,,,eat
2026-03-13 15:50:01.792797,,,start
2026-03-13 15:50:13.664995,,,drink
2026-03-13 15:50:22.678507,,,start
2026-03-13 15:50:34.218119,,,eat
2026-03-13 15:51:14.548920,,,start
2026-03-13 15:51:46.408076,,,exit
2026-03-13 15:51:47.495438,,,block_end
2026-03-13 18:23:55.885518,,,initialize
2026-03-16 12:42:58.049782,,,initialize
2026-03-16 12:44:59.385981,,,block_start
2026-03-16 12:45:10.430271,,,start
2026-03-16 12:46:00.923115,,,exit
2026-03-16 12:46:06.524773,,,block_end
2026-03-16 12:46:38.209664,,,block_start
2026-03-16 12:46:45.445014,,,start
2026-03-16 12:46:45.446535,,,start
2026-03-16 12:48:11.355412,,,exit
2026-03-16 12:48:13.952321,,,block_end
2026-03-16 12:48:51.635699,,,block_start
2026-03-16 12:48:57.895346,,,start
2026-03-16 12:48:57.896786,,,start
2026-03-16 12:49:09.123906,,,drink
2026-03-16 12:49:11.598527,,,start
2026-03-16 12:50:15.322900,,,exit
2026-03-16 12:50:19.920358,,,block_end
2026-03-16 12:52:16.264282,,,block_start
2026-03-16 12:52:22.275019,,,start
2026-03-16 12:52:22.276409,,,exit
2026-03-16 12:52:26.365043,,,block_end
2026-03-16 12:55:42.143139,,,initialize
2026-03-16 12:57:52.996440,,,block_start
2026-03-16 12:58:19.016693,,,start
2026-03-16 12:58:19.018262,,,start
2026-03-16 13:00:41.795028,,,exit
2026-03-16 13:00:44.380420,,,block_end
2026-03-16 13:01:20.563793,,,block_start
2026-03-16 13:01:46.871973,,,start
2026-03-16 13:03:48.681858,,,exit
2026-03-16 13:03:51.267896,,,block_end
2026-03-16 13:04:20.441272,,,block_start
2026-03-16 13:04:21.962113,,,start
2026-03-16 13:04:21.963539,,,start
2026-03-16 13:05:04.956845,,,drink
2026-03-16 13:05:13.092660,,,start
2026-03-16 13:06:45.503007,,,exit
2026-03-16 13:06:56.610351,,,block_end
2026-03-16 13:08:16.385871,,,block_start
2026-03-16 13:08:20.298910,,,start
2026-03-16 13:08:32.224001,,,drink
2026-03-16 13:08:37.628928,,,start
2026-03-16 13:08:45.042245,,,eat
2026-03-16 13:10:22.799814,,,start
2026-03-16 13:10:23.741885,,,eat
2026-03-16 13:10:23.743338,,,start
2026-03-16 13:11:43.520097,,,exit
2026-03-16 13:11:47.615829,,,block_end
2026-03-16 13:12:34.322517,,,block_start
2026-03-16 13:12:38.772575,,,start
2026-03-16 13:12:38.956411,,,start
2026-03-16 13:12:38.959739,,,start
2026-03-16 13:13:25.649085,,,exit
2026-03-16 13:13:30.740939,,,block_end
2026-03-16 13:13:40.382975,,,block_start
2026-03-16 13:13:43.230197,,,start
2026-03-16 13:14:04.232544,,,exit
