Date_Time,amount_consumed,latency_to_consumption,Type
2026-05-11 12:45:22.883227,,,initialize
2026-05-11 13:15:25.584946,,,block_start
2026-05-11 13:15:58.682086,,,start
2026-05-11 13:19:49.728178,,,eat
2026-05-11 13:21:29.003399,,,start
2026-05-11 13:22:28.421321,,,eat
2026-05-11 13:32:00.182742,,,start
2026-05-11 13:33:46.624444,,,eat
2026-05-11 13:40:50.065764,,,start
2026-05-11 13:45:05.125366,,,eat
2026-05-11 13:49:00.434905,,,start
2026-05-11 13:49:04.330968,,,exit
2026-05-11 13:49:09.420418,,,block_end
2026-05-11 13:59:47.307971,,,block_start
2026-05-11 14:00:25.725037,,,start
2026-05-11 14:00:25.726485,,,start
2026-05-11 14:00:42.191389,,,exit
2026-05-11 14:00:59.314258,,,block_end
2026-05-11 14:41:45.316492,,,block_start
2026-05-11 14:41:58.660629,,,start
2026-05-11 14:41:58.662126,,,start
2026-05-11 14:42:51.985440,,,eat
2026-05-11 14:48:40.816501,,,start
2026-05-11 14:48:43.644901,,,exit
2026-05-11 14:48:46.736333,,,block_end
2026-05-11 15:04:17.210191,,,block_start
2026-05-11 15:04:25.222597,,,start
2026-05-11 15:04:33.143251,,,eat
2026-05-11 15:06:37.597978,,,start
2026-05-11 15:06:43.676641,,,drink
2026-05-11 15:06:48.721187,,,start
2026-05-11 15:07:34.465102,,,eat
2026-05-11 15:14:19.959982,,,start
2026-05-11 15:14:28.537753,,,exit
2026-05-11 15:14:31.122437,,,block_end
2026-05-11 15:17:00.036210,,,block_start
2026-05-11 15:17:14.382977,,,start
2026-05-11 15:17:14.384428,,,start
2026-05-11 15:17:23.291436,,,eat
2026-05-11 15:25:33.159311,,,start
2026-05-11 15:42:25.248853,,,exit
2026-05-11 15:42:29.340858,,,block_end
2026-05-11 15:45:32.818301,,,block_start
2026-05-11 15:45:40.138578,,,start
2026-05-11 15:46:10.316940,,,eat
2026-05-11 15:58:42.558510,,,start
2026-05-11 15:58:43.448701,,,eat
2026-05-11 15:58:43.450049,,,start
2026-05-11 15:58:43.451036,,,eat
2026-05-11 15:58:43.451875,,,start
2026-05-11 15:58:43.452645,,,eat
2026-05-11 15:58:43.453374,,,start
2026-05-11 15:58:43.454101,,,eat
2026-05-11 15:58:43.454833,,,start
2026-05-11 15:58:43.455579,,,eat
2026-05-11 15:58:43.456307,,,start
2026-05-11 15:58:43.457035,,,eat
2026-05-11 15:58:43.457747,,,start
2026-05-11 15:58:43.458466,,,eat
2026-05-11 15:58:43.459197,,,start
2026-05-11 15:58:43.459924,,,eat
2026-05-11 15:58:43.460637,,,start
2026-05-11 15:58:43.461357,,,eat
2026-05-11 15:58:43.462109,,,start
2026-05-11 15:58:43.462862,,,eat
2026-05-11 15:58:43.463592,,,start
2026-05-11 15:58:43.464314,,,eat
2026-05-11 15:58:43.465029,,,start
2026-05-11 15:58:43.465750,,,eat
2026-05-11 15:58:43.466459,,,start
2026-05-11 15:58:43.467202,,,eat
2026-05-11 15:58:43.467938,,,start
2026-05-11 15:58:43.468712,,,eat
2026-05-11 15:58:43.469439,,,start
2026-05-11 15:58:43.470199,,,eat
2026-05-11 15:58:43.470948,,,start
2026-05-11 15:58:43.471686,,,eat
2026-05-11 15:58:43.472402,,,start
2026-05-11 15:58:43.473121,,,eat
2026-05-11 15:58:43.473837,,,start
2026-05-11 15:58:43.474568,,,eat
2026-05-11 15:58:43.475318,,,start
2026-05-11 15:58:43.476052,,,eat
2026-05-11 15:58:43.476785,,,start
2026-05-11 15:58:43.478173,,,eat
2026-05-11 15:58:43.479299,,,start
2026-05-11 15:58:43.480187,,,eat
2026-05-11 15:58:43.480944,,,start
2026-05-11 15:58:43.481684,,,eat
2026-05-11 15:58:43.482582,,,start
2026-05-11 15:58:43.483483,,,eat
2026-05-11 15:58:43.484573,,,start
2026-05-11 15:58:43.485663,,,eat
2026-05-11 15:58:43.486995,,,start
2026-05-11 15:58:43.488645,,,eat
2026-05-11 15:58:43.489991,,,start
2026-05-11 15:58:43.491237,,,eat
2026-05-11 15:58:43.492208,,,start
2026-05-11 15:58:43.493014,,,eat
2026-05-11 15:58:43.493756,,,start
