m,w,Date_Time
20.90862037769463,"[22.85134276216744, 18.974881057043905, 19.38239551461531, 21.91305043738068, 22.1091526343748, 22.32088385461007, 22.36376943044244, 20.28354353741339, 20.074479979772157, 18.812704569126097]",2026-03-13 14:24:47.508281
19.768710753463903,"[19.15054083959461, 17.114534353694946, 16.026446974986605, 18.940549399311973, 22.10686192410384, 21.016396846126902, 20.832676083129005, 20.913923806916902, 20.776133234668478, 20.80904407210576]",2026-03-13 14:25:54.688548
17.572534325858463,"[17.52332464989828, 15.30899071885388, 16.74303334114301, 16.307798389659673, 17.529181909072143, 17.933013832410474, 17.595641503262666, 18.667809895404428, 19.15718099974715, 18.95936801913294]",2026-03-13 14:26:55.767490
19.857378638749772,"[17.27949448953696, 19.61729480455312, 21.075027430530586, 19.758709918369526, 20.133081567843302, 21.566921215804623, 20.251879542275493, 20.892582506164622, 17.998835507285037, 19.999959405134437]",2026-03-13 14:31:33.941032
16.93267225561311,"[18.597957730306273, 17.423809236607752, 12.171094599954998, 16.15005834062108, 18.241215851019163, 17.208946412457752, 17.36688943582416, 16.780380617459503, 16.66271349999652, 18.723656831883904]",2026-03-13 14:32:36.061955
17.71279248600637,"[19.10434968185224, 17.785741459420212, 15.508920431743793, 14.731267789250015, 17.04265244531872, 18.754363948047853, 18.790319400402236, 18.655022512752588, 18.29123452465732, 18.464052666618727]",2026-03-13 14:34:34.212793
18.711492870381754,"[19.491218750652415, 17.669988099905122, 19.67166292807286, 17.983119495046267, 15.044283199060983, 14.834320755110893, 18.720496231636623, 20.897801846022517, 21.35150746133629, 21.45052993697357]",2026-03-13 14:36:07.907714
17.13288903219521,"[17.58430393723802, 16.1494784139702, 15.5438320161266, 15.525245366965985, 19.139551229560485, 17.910309704028634, 17.638121130439423, 17.461011531261526, 16.841562879127046, 17.53547411323416]",2026-03-13 14:37:45.481030
17.141373359097543,"[18.420616160468025, 17.089046577388892, 14.233806708127556, 15.254158654013441, 18.387589337700568, 18.582734655720746, 15.949722679075553, 18.069354588031707, 17.771475263808632, 17.6552289666403]",2026-03-13 14:38:23.980630
23.23015954942019,"[20.967885981781023, 21.62044844568059, 22.01793017219182, 21.942249744252347, 22.075342910628663, 25.945164455599656, 23.919480664085604, 25.316147013725704, 24.197932445504293, 24.299013660752188]",2026-03-13 14:39:50.092464
19.07768755407816,"[20.274989619312947, 18.113139050172936, 16.766491374170993, 17.907091111116266, 18.863564136408026, 20.690594053664093, 19.803393266819615, 19.235500093948115, 19.79576723136058, 19.32634560380803]",2026-03-13 14:41:38.770816
19.210902505051163,"[16.304927752737836, 18.079880256745128, 19.257276339688556, 19.325852666154784, 20.805274548875058, 20.6164214350169, 19.36978210995873, 20.643040068292162, 18.16075102820995, 19.545818844832507]",2026-03-13 14:43:13.141054
18.02571220791994,"[17.80029761835723, 17.143994627559508, 13.056700588509566, 14.822084302777384, 19.917783798705138, 20.042902973631897, 20.384682745326373, 18.59862464595478, 19.43171827627242, 19.05833250210513]",2026-03-13 14:43:59.696945
18.13778883246847,"[20.218852719508035, 17.069213085928894, 17.743696777231616, 17.576387938453543, 18.062598442548985, 18.210131782532144, 18.15947518957802, 18.418673406187587, 17.938146183270742, 17.98071279944513]",2026-03-13 14:48:07.475220
