m,w,Date_Time
20.13261764886339,"[22.078316256097185, 22.894073841151023, 21.88479768076817, 18.845254164493664, 18.431680829524186, 18.544900604350094, 19.75287219682793, 19.382305120103076, 19.55661180476731, 19.955363990551277]",2026-04-07 16:16:47.832838
24.141420556318007,"[24.893640074115137, 25.288340501096876, 26.97920361128673, 24.110610264929953, 20.532193254483875, 20.41039267548982, 23.46009412914311, 25.805024116636382, 25.213795219200463, 24.720911716797726]",2026-04-11 13:51:13.361060
27.71085926321505,"[27.50690467050336, 29.048454027433635, 31.107133378836934, 28.605078006747625, 27.119853555245886, 27.267767301850363, 26.27400605614473, 27.586218091007737, 27.426515882568253, 25.166661661811958]",2026-04-12 13:05:41.010306
19.42597292346549,"[19.33480205529093, 18.50760102163964, 19.054658694609447, 19.260601702570415, 19.18053755385968, 19.772699789065665, 19.28501051425288, 20.067086695716466, 20.361433022464222, 19.435298185185577]",2026-04-16 12:27:17.982301
20.567347624493056,"[21.299741830656817, 21.674355205630544, 22.028333699905126, 20.83384396378, 20.29362400447353, 20.249797709183312, 19.873987227069716, 19.59057718419299, 19.965413748633473, 19.863801671405046]",2026-04-16 13:34:28.203009
24.981448897322295,"[27.735511554315796, 27.402675189528438, 26.313023632923937, 25.066023502256648, 25.565480948952917, 22.069055632612283, 17.45576993467447, 23.59881652770755, 27.3576112071953, 27.2505208430556]",2026-04-23 10:39:58.980942
13.815953501923893,"[17.61782577749065, 17.9177518409073, 18.28822606577028, 17.358702806587257, 16.571615007097424, 14.986320514683026, 4.819309865704869, 0.30591159911600735, 12.002703433140956, 18.291168108741154]",2026-04-23 10:40:09.197526
17.448376276339403,"[27.508811925946546, 26.461221438849737, 18.87906945412726, 18.409215046703412, 13.888715297081413, 13.745732008697084, 14.035188457127738, 14.059658138664775, 13.756769742325732, 13.73938125387031]",2026-04-23 10:40:19.415458
19.340584691475055,"[27.28286302578366, 27.37343736938344, 27.284080422875054, 27.27744560872695, 15.15452421281075, 13.836367222151432, 13.44858566863912, 13.091320202217773, 13.970706991186855, 14.686516190975517]",2026-04-23 10:43:40.374769
21.571509499349506,"[26.415853107243755, 24.80976141451803, 24.23908623797516, 22.254911588565232, 20.624816883187503, 19.893201811162236, 19.374793549743252, 19.399364681037905, 19.536179824159166, 19.16712589590281]",2026-04-23 10:43:53.599612
16.837977432704317,"[14.848937252919116, 19.488153508903636, 18.89181154368386, 17.300673545230765, 16.87164252027169, 17.416549458380036, 17.041712893939554, 16.575470097886843, 14.896598349047224, 15.048225156780456]",2026-04-23 10:44:12.203065
25.061752467461005,"[27.269897746760304, 27.31173562680124, 27.38751859574057, 27.37501998560225, 24.24127755273967, 20.73894786050577, 23.05541104601193, 25.005356547202137, 25.452749978289752, 22.77960973495642]",2026-04-23 10:47:50.887890
25.519581020617025,"[18.49193717906369, 26.776628735278628, 27.62154289660971, 26.657222370564313, 26.532358008890245, 26.483520095573788, 26.443224251848616, 26.22027826451117, 25.21959814533611, 24.749500258493985]",2026-04-23 10:48:13.763719
21.198862220678382,"[24.456209009225436, 21.781831078849187, 17.020286705131006, 17.41326248623327, 22.564353639246285, 23.65534433265132, 24.24176451157623, 18.965484357664774, 18.846828721156818, 23.043257365049502]",2026-04-23 10:58:43.675126
19.53722272766746,"[23.190805892526562, 21.1364280108462, 20.97057794709517, 20.42731449506021, 19.58258294329283, 19.397254526079486, 18.360438003241523, 18.06217571584978, 17.216815175585182, 17.027834567097653]",2026-04-23 10:59:06.277456
23.80513084178139,"[24.941199720485628, 27.293271770915087, 27.606995001367544, 27.406895499445273, 26.603778638252077, 25.139452836819284, 22.209685286619912, 19.46674761004661, 18.667140910466937, 18.71614114339558]",2026-04-23 10:59:22.825665
10.712566865535244,"[12.769886790186481, 14.329534783875493, 16.354898034877614, 16.240442418334975, 13.14740162822803, 11.046782947026182, 4.826492508544098, 6.094391289280332, 6.4460567290812625, 5.869781525917978]",2026-04-23 12:53:41.309154
22.16376709732765,"[20.082486768922614, 18.122173102504025, 26.23119425843068, 27.18585676755101, 27.272413700749187, 27.257419426573506, 26.42585605334472, 17.433572727708036, 16.55647870326108, 15.070219464231656]",2026-04-23 12:55:14.240066
21.90389136922274,"[27.287265945264206, 27.16524217680339, 27.58181517152719, 27.1211724020949, 25.957868321461007, 18.352910431226398, 17.57233570617553, 16.474405849349544, 15.83360860034233, 15.69228908798291]",2026-04-24 13:08:49.947695
