Date_Time,amount_consumed,latency_to_consumption,Type
2026-04-23 10:48:02.131842,,,block_end
2026-04-23 10:48:13.765204,,,block_start
2026-04-23 10:50:21.686624,,,start
2026-04-23 10:50:24.920134,,,drink
2026-04-23 10:50:32.467582,,,start
2026-04-23 10:50:36.005902,,,exit
2026-04-23 10:50:39.598347,,,block_end
2026-04-23 10:58:43.676672,,,block_start
2026-04-23 10:58:45.382582,,,start
2026-04-23 10:58:52.060094,,,exit
2026-04-23 10:58:55.145448,,,block_end
2026-04-23 10:59:06.278811,,,block_start
2026-04-23 10:59:08.367475,,,start
2026-04-23 10:59:08.368908,,,start
2026-04-23 10:59:14.103811,,,exit
2026-04-23 10:59:16.193338,,,block_end
2026-04-23 10:59:22.827022,,,block_start
2026-04-23 10:59:24.478924,,,start
2026-04-23 10:59:29.947217,,,exit
2026-04-23 10:59:32.539828,,,block_end
2026-04-23 12:53:28.180199,,,initialize
2026-04-23 12:53:41.313298,,,block_start
2026-04-23 12:53:42.850356,,,start
2026-04-23 12:53:42.851871,,,start
2026-04-23 12:53:46.506544,,,drink
2026-04-23 12:53:48.375092,,,start
2026-04-23 12:53:55.617188,,,eat
2026-04-23 12:54:00.050927,,,start
2026-04-23 12:54:05.411066,,,exit
2026-04-23 12:54:07.497392,,,block_end
2026-04-23 12:55:14.241399,,,block_start
2026-04-23 12:55:16.225541,,,start
2026-04-23 12:55:20.462414,,,exit
2026-04-23 12:55:24.055455,,,block_end
2026-04-24 13:08:45.340296,,,initialize
2026-04-24 13:08:49.949270,,,block_start
2026-04-24 13:08:51.372496,,,start
2026-04-24 13:08:51.374016,,,start
2026-04-24 13:08:55.269475,,,drink
2026-04-24 13:08:57.049271,,,start
2026-04-24 13:09:01.549266,,,drink
2026-04-24 13:09:04.341160,,,start
2026-04-24 13:09:12.355826,,,eat
2026-04-24 13:09:14.874657,,,start
2026-04-24 13:09:27.365157,,,exit
2026-04-24 13:09:29.959265,,,block_end
2026-04-24 13:46:05.778203,,,initialize
2026-04-27 12:50:25.602823,,,initialize
2026-04-27 12:51:13.286237,,,block_start
2026-04-27 12:51:14.623664,,,start
2026-04-27 12:51:14.629910,,,start
2026-04-27 12:51:18.599766,,,drink
2026-04-27 12:51:18.627283,,,start
2026-04-27 12:51:18.629062,,,drink
2026-04-27 12:51:18.630105,,,start
2026-04-27 12:51:18.631169,,,drink
2026-04-27 12:51:18.632223,,,start
2026-04-27 12:51:18.633239,,,drink
2026-04-27 12:51:18.634448,,,start
2026-04-27 12:51:18.636376,,,drink
2026-04-27 12:51:18.637553,,,start
2026-04-27 12:51:18.638463,,,drink
2026-04-27 12:51:18.639257,,,start
2026-04-27 12:51:18.640098,,,drink
2026-04-27 12:51:18.640883,,,start
2026-04-27 12:51:18.641660,,,drink
2026-04-27 12:51:18.642411,,,start
2026-04-27 12:51:18.643162,,,drink
2026-04-27 12:51:18.643908,,,start
2026-04-27 12:51:18.644660,,,drink
2026-04-27 12:51:18.645394,,,start
2026-04-27 12:51:18.646130,,,drink
2026-04-27 12:51:18.646853,,,start
2026-04-27 12:51:18.647803,,,drink
2026-04-27 12:51:18.648798,,,start
2026-04-27 12:51:18.649766,,,drink
2026-04-27 12:51:18.651095,,,start
2026-04-27 12:51:18.652273,,,drink
2026-04-27 12:51:18.653166,,,start
2026-04-27 12:51:18.653965,,,drink
2026-04-27 12:51:18.654700,,,start
2026-04-27 12:51:18.655499,,,drink
2026-04-27 12:51:18.656492,,,start
2026-04-27 12:51:18.657372,,,drink
2026-04-27 12:51:18.658744,,,start
2026-04-27 12:51:18.659954,,,drink
2026-04-27 12:51:18.660936,,,start
2026-04-27 12:51:18.661775,,,drink
2026-04-27 12:51:18.662520,,,start
2026-04-27 12:51:18.663266,,,drink
2026-04-27 12:51:18.664084,,,start
2026-04-27 12:51:18.665204,,,drink
2026-04-27 12:51:18.666131,,,start
2026-04-27 12:51:18.667366,,,drink
2026-04-27 12:51:18.668537,,,start
2026-04-27 12:51:18.669591,,,drink
2026-04-27 12:51:18.671010,,,start
2026-04-27 12:51:18.672297,,,drink
2026-04-27 12:51:18.673235,,,start
2026-04-27 12:51:18.674044,,,drink
2026-04-27 12:51:18.674785,,,start
2026-04-27 12:51:18.675526,,,drink
2026-04-27 12:51:18.676273,,,start
2026-04-27 12:51:18.677008,,,drink
2026-04-27 12:51:18.677723,,,start
2026-04-27 12:51:18.678596,,,drink
2026-04-27 12:51:18.679451,,,start
2026-04-27 12:51:18.680282,,,drink
2026-04-27 12:51:18.681263,,,start
2026-04-27 12:51:18.682300,,,drink
2026-04-27 12:51:18.683438,,,start
2026-04-27 12:51:18.684810,,,drink
2026-04-27 12:51:18.685853,,,start
2026-04-27 12:51:18.686702,,,drink
2026-04-27 12:51:18.687461,,,start
2026-04-27 12:51:18.688288,,,drink
2026-04-27 12:51:18.689701,,,start
2026-04-27 12:51:18.690780,,,drink
2026-04-27 12:51:18.691665,,,start
2026-04-27 12:51:18.692470,,,drink
2026-04-27 12:51:18.693230,,,start
2026-04-27 12:51:18.693973,,,drink
2026-04-27 12:51:18.694687,,,start
2026-04-27 12:51:18.695410,,,drink
2026-04-27 12:51:18.696156,,,start
2026-04-27 12:51:18.696888,,,drink
2026-04-27 12:51:18.697763,,,start
2026-04-27 12:51:18.698694,,,drink
2026-04-27 12:51:18.699587,,,start
2026-04-27 12:51:18.700814,,,drink
2026-04-27 12:51:18.701916,,,start
2026-04-27 12:51:18.702830,,,drink
2026-04-27 12:51:18.703680,,,start
2026-04-27 12:51:18.704656,,,drink
2026-04-27 12:51:18.705718,,,start
2026-04-27 12:51:18.707037,,,drink
2026-04-27 12:51:18.708231,,,start
2026-04-27 12:51:18.709330,,,drink
2026-04-27 12:51:18.710352,,,start
2026-04-27 12:51:18.711354,,,drink
2026-04-27 12:51:18.712425,,,start
2026-04-27 12:51:18.713447,,,drink
2026-04-27 12:51:18.714745,,,start
2026-04-27 12:51:18.716149,,,drink
2026-04-27 12:51:18.717707,,,start
2026-04-27 12:51:18.719550,,,drink
2026-04-27 12:51:18.721340,,,start
2026-04-27 12:51:18.722527,,,drink
2026-04-27 12:51:18.723582,,,start
2026-04-27 12:51:18.724654,,,drink
2026-04-27 12:51:18.725657,,,start
2026-04-27 12:51:18.726664,,,drink
2026-04-27 12:51:18.727671,,,start
2026-04-27 12:51:18.728697,,,drink
2026-04-27 12:51:18.729686,,,start
2026-04-27 12:51:18.730714,,,drink
2026-04-27 12:51:18.732205,,,start
2026-04-27 12:51:18.733569,,,drink
2026-04-27 12:51:18.735276,,,start
2026-04-27 12:51:18.737083,,,drink
2026-04-27 12:51:18.738353,,,start
2026-04-27 12:51:18.739468,,,drink
2026-04-27 12:51:18.740575,,,start
2026-04-27 12:51:18.741626,,,drink
2026-04-27 12:51:18.742624,,,start
2026-04-27 12:51:18.743642,,,drink
2026-04-27 12:51:18.744654,,,start
