m,w,Date_Time
23.123674558916743,"[23.644408048780292, 24.26741101030161, 24.11901030486058, 22.32436409262931, 22.906056712849303, 23.77081444677012, 22.927990150445932, 22.677673018503626, 22.77216332274739, 21.826854481279273]",2026-05-11 13:15:25.580020
24.078282285167965,"[24.377950666200267, 23.80926390490668, 26.9743746028242, 26.112356012359015, 23.37540387148507, 23.41519246642216, 24.120166832097404, 23.258777230129443, 22.92792928059136, 22.41140798466404]",2026-05-11 13:59:47.306610
23.809190861081195,"[24.361576675321007, 22.530611449863123, 25.302827526484474, 24.30768656407526, 23.131843293400006, 24.449695934786472, 23.85887283638102, 24.259031260322512, 22.397367338209953, 23.492395731968116]",2026-05-11 14:41:45.315108
24.24670511477214,"[24.424982773831157, 24.520223806281283, 26.448134420117245, 24.952927312466066, 23.525448062999487, 24.55132830196642, 23.29006433537829, 24.02906494975802, 23.61149774740958, 23.11337943751385]",2026-05-11 15:04:17.208856
22.75437512224696,"[22.732800816792288, 23.021607986774196, 24.3695100463666, 23.11114754284629, 23.870093179573374, 21.98631321030048, 23.744356349983807, 22.565307266967878, 21.324454991612132, 20.818159831252533]",2026-05-11 15:17:00.034273
23.773855910503457,"[24.94744902555479, 24.57188202285947, 24.35695056637371, 23.76959704967873, 23.913391936123986, 23.774304318432122, 23.442462161269404, 23.87025549918556, 22.382312194179704, 22.709954331377112]",2026-05-11 15:45:32.816940
22.98420346114109,"[22.442106681318716, 24.355388240106414, 25.012823249362693, 24.14368288591285, 22.67203241198016, 23.213672667893263, 23.13878245682095, 20.854823773655042, 22.652391738905656, 21.356330505455155]",2026-05-11 16:02:28.370095
