m,w,Date_Time
32.535221845141024,"[34.32701831872305, 31.826664563466014, 31.888571733447154, 31.888716715109872, 33.03760940316268, 31.89408103663049, 32.161137259359435, 32.42268417890505, 33.54376938404831, 32.36196585855821]",2026-09-16 15:58:08.488689
32.38226039170566,"[33.15142000839734, 32.44103885740532, 31.554562978874433, 33.513497212872515, 32.93142483338708, 32.22278346234768, 31.717725342098735, 32.653494985954175, 31.760552925266015, 31.876103310453292]",2026-09-16 16:08:24.335612
32.06810542602572,"[31.351153706079256, 30.659069240922406, 31.12904179879329, 31.363448151077854, 32.41404327180698, 32.15029263098803, 32.2344979806954, 33.2233889057712, 32.68072254221286, 33.47539603190988]",2026-09-16 16:16:14.452512
30.088896956312965,"[29.23662515165082, 28.785790173258885, 28.385727773151253, 31.02703270090399, 31.207157918666447, 30.774619626109686, 31.09717482932759, 29.458186128618454, 29.33985209550696, 31.576803165935573]",2026-09-16 16:30:38.169152
29.998709663201797,"[30.713727327767582, 28.14740691597327, 26.740533857277732, 29.308420071029417, 32.36996884634031, 32.75266244325418, 32.99947922586751, 27.071150040942822, 29.254689866825643, 30.629058036739515]",2026-09-16 16:46:37.028856
32.033869456191184,"[32.273759014959786, 32.010269341133736, 31.729352871448818, 31.95601720294417, 32.996811563273475, 32.10569627153558, 31.5396008712818, 32.286459408614, 31.145569708343288, 32.295158308377154]",2026-09-16 17:09:31.513427
