m,w,Date_Time
37.2968024004324,"[36.92279900438192, 38.191185578847985, 35.03467381445595, 38.945786136969396, 38.251352968876496, 36.052967020731224, 37.543291524487984, 36.201283261693064, 38.779956111151066, 37.04472858272886]",2026-08-27 14:02:10.075327
36.46784074750226,"[37.20890581759219, 35.693702460512796, 36.23610785707824, 38.200464405262025, 38.05319203227176, 36.050676310460254, 34.87429509915586, 35.63225923185236, 36.23625283874095, 36.492551422096135]",2026-08-27 14:12:46.452479
36.86112090542788,"[36.22772791697306, 35.77674795691841, 34.448541948414366, 39.606177610655806, 37.42002811484403, 36.777730352664996, 37.46076796206816, 36.58183112999868, 37.28014980665245, 37.03150625508886]",2026-08-27 14:44:17.519964
34.51466228551413,"[29.40120833516977, 32.58923911303698, 29.88150358742626, 32.39374583902628, 37.18109833468263, 35.57661526970069, 37.94106321432465, 36.529956691077714, 36.789009926024555, 36.863182544671744]",2026-08-27 14:58:26.222943
40.94049894569335,"[41.48186337392046, 41.14768064135249, 37.18170725766605, 43.282709602889426, 42.02348586950722, 42.75883286281952, 39.71868338092598, 43.88267271955443, 39.94404287745686, 37.98331087084106]",2026-09-07 17:21:49.099730
41.91280686818731,"[42.89334684949048, 40.19428122731037, 40.66097719960379, 44.879160683756716, 41.04181503123485, 44.97760323274312, 42.02394981082792, 41.01351461067204, 41.41897032863284, 40.02444970760098]",2026-09-07 17:37:27.596164
43.101285349429006,"[40.747125303591595, 41.822744259306084, 38.549290285764656, 44.40057621512032, 42.69550487254372, 43.63298530001925, 44.774744890266284, 44.779587277801106, 44.761841522284264, 44.84845356759277]",2026-09-07 18:03:09.379200
41.587207050052314,"[40.913506259728265, 36.8301557219043, 44.113628508266274, 44.116412156190485, 42.05865842088293, 40.009255629348, 43.39182280225197, 41.47916671499389, 41.740916608867316, 41.21854767808968]",2026-09-07 18:22:46.883003
39.55356956452148,"[38.83444022000097, 42.735461818789155, 33.98692033431611, 39.03158628496668, 41.46774215997161, 40.16293619183046, 41.67535590098564, 37.62387233262737, 38.767806647815185, 41.249573753911605]",2026-09-07 18:58:43.043181
33.933732361530915,"[30.37226651573109, 31.12718603351048, 28.468918251219588, 32.46971623029119, 38.069111018838335, 35.83607445330315, 32.67837383927681, 36.754968231618065, 36.95289719756245, 36.607811843957975]",2026-09-11 14:18:09.927882
35.04536476226487,"[31.07870416549715, 32.258622929371896, 29.616100155652312, 32.11743978621584, 37.77833579608851, 38.33213675134369, 37.73034686572842, 37.89084156635868, 36.92097223543166, 36.73014737096052]",2026-09-11 14:30:35.413784
34.48012765345439,"[36.09733140952332, 34.97204173616121, 32.72647875496707, 30.494834013393987, 34.948409725137964, 34.46353305233954, 35.24405633175516, 34.92547362609577, 35.09985757001455, 35.82926031515534]",2026-09-11 14:51:13.286929
