Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-09-07 17:22:16.951679,,,drink,0
2026-09-07 17:22:16.952412,,,start,0
2026-09-07 17:22:16.953680,,,drink,0
2026-09-07 17:22:16.954425,,,start,0
2026-09-07 17:22:16.955680,,,drink,0
2026-09-07 17:22:16.956411,,,start,0
2026-09-07 17:22:16.957681,,,drink,0
2026-09-07 17:22:16.958424,,,start,0
2026-09-07 17:22:16.959680,,,drink,0
2026-09-07 17:22:16.960408,,,start,0
2026-09-07 17:22:16.961650,,,drink,0
2026-09-07 17:22:16.962386,,,start,0
2026-09-07 17:22:16.963649,,,drink,0
2026-09-07 17:22:16.964383,,,start,0
2026-09-07 17:22:16.965660,,,drink,0
2026-09-07 17:22:16.966418,,,start,0
2026-09-07 17:22:16.967650,,,drink,0
2026-09-07 17:22:16.968383,,,start,0
2026-09-07 17:22:16.969687,,,drink,0
2026-09-07 17:22:16.970422,,,start,0
2026-09-07 17:22:16.971681,,,drink,0
2026-09-07 17:22:16.972408,,,start,0
2026-09-07 17:22:16.973682,,,drink,0
2026-09-07 17:22:16.974418,,,start,0
2026-09-07 17:22:16.975681,,,drink,0
2026-09-07 17:22:16.976411,,,start,0
2026-09-07 17:22:16.977681,,,drink,0
2026-09-07 17:22:16.978423,,,start,0
2026-09-07 17:22:16.979680,,,drink,0
2026-09-07 17:22:16.980408,,,start,0
2026-09-07 17:22:16.981682,,,drink,0
2026-09-07 17:22:16.982419,,,start,0
2026-09-07 17:22:16.983682,,,drink,0
2026-09-07 17:22:16.984416,,,start,0
2026-09-07 17:22:16.985688,,,drink,0
2026-09-07 17:22:16.986428,,,start,0
2026-09-07 17:22:16.987650,,,drink,0
2026-09-07 17:22:16.988377,,,start,0
2026-09-07 17:22:16.989661,,,drink,0
2026-09-07 17:22:16.990410,,,start,0
2026-09-07 17:22:16.991652,,,drink,0
2026-09-07 17:22:16.992386,,,start,0
2026-09-07 17:22:16.993652,,,drink,0
2026-09-07 17:22:16.994397,,,start,0
2026-09-07 17:22:16.995683,,,drink,0
2026-09-07 17:22:16.996415,,,start,0
2026-09-07 17:22:16.997682,,,drink,0
2026-09-07 17:22:16.998417,,,start,0
2026-09-07 17:22:16.999682,,,drink,0
2026-09-07 17:22:17.000413,,,start,0
2026-09-07 17:22:17.001683,,,drink,0
2026-09-07 17:22:17.002426,,,start,0
2026-09-07 17:22:17.003682,,,drink,0
2026-09-07 17:22:17.004410,,,start,0
2026-09-07 17:22:17.005683,,,drink,0
2026-09-07 17:22:17.006421,,,start,0
2026-09-07 17:22:17.007683,,,drink,0
2026-09-07 17:22:17.008411,,,start,0
2026-09-07 17:22:17.009684,,,drink,0
2026-09-07 17:22:17.010421,,,start,0
2026-09-07 17:22:17.011682,,,drink,0
2026-09-07 17:22:17.012407,,,start,0
2026-09-07 17:22:17.013659,,,drink,0
2026-09-07 17:22:17.014407,,,start,0
2026-09-07 17:22:17.015651,,,drink,0
2026-09-07 17:22:17.016379,,,start,0
2026-09-07 17:22:17.017653,,,drink,0
2026-09-07 17:22:17.018388,,,start,0
2026-09-07 17:22:17.019661,,,drink,0
2026-09-07 17:22:17.020403,,,start,0
2026-09-07 17:22:17.021687,,,drink,0
2026-09-07 17:22:17.022433,,,start,0
2026-09-07 17:22:17.023684,,,drink,0
2026-09-07 17:22:17.024417,,,start,0
