m,w,Date_Time
15.17057382582251,"[14.76803513891563, 12.25028358413228, 14.752725075332473, 14.472011579975364, 14.157169401214134, 16.2411068248088, 16.30820433831529, 16.27883105344836, 16.231509038736778, 16.24586222334599]",2026-03-13 15:25:05.877759
16.01812792717977,"[17.42685385152486, 16.357788066965288, 15.75530226936897, 15.6668634551102, 16.495201686890642, 15.482794736121775, 15.845103911257304, 15.843248145974497, 15.69362707004818, 15.614496078535987]",2026-03-13 15:26:31.067096
15.252021624304959,"[12.488169496322106, 13.535198068148341, 14.688498198747823, 13.757744920422464, 16.847188167640557, 16.210283723314674, 16.138604789266253, 16.20181679421187, 16.250704610880817, 16.402007474094678]",2026-03-13 15:30:45.200304
15.23336538394624,"[15.772236127574585, 14.617979118001156, 13.544882843217989, 14.345297606758697, 15.34941160642002, 16.29173442143038, 15.928352381990727, 15.890483171688444, 15.621774158004497, 14.971502404375896]",2026-03-13 15:31:44.382323
15.445241585844222,"[12.821946280234474, 12.966377012635443, 15.07612117219414, 15.168445495013792, 16.336504758878096, 16.126078373607307, 16.460406087838013, 16.471830642860294, 16.151392171918094, 16.873313863262574]",2026-03-13 15:34:31.479895
14.867921705262718,"[15.99492796151143, 16.023402360069497, 14.566017690082557, 14.556390907677997, 14.411699208284137, 14.59939246884054, 14.608671295254576, 14.499384117896767, 14.89544502411335, 14.52388601889633]",2026-03-13 15:41:00.086119
16.372999543017798,"[17.024790704471698, 27.582007427700542, 5.497733646648372, 13.022107963784741, 14.534150720616857, 15.378320949966248, 17.18044301756714, 18.137090020854163, 16.894191222694154, 18.479159755874075]",2026-03-13 15:43:15.911168
15.214958512047398,"[12.63958834486614, 13.126726731602986, 16.057936992129235, 15.902922598349763, 15.609885661661512, 17.372369742674948, 16.495578639213715, 14.889384790611684, 14.903679982555808, 15.151511636808177]",2026-03-16 12:59:04.316256
16.306873406651526,"[14.342108010178872, 13.061774946704741, 13.176919383236408, 14.00380779838966, 13.787640139275183, 18.833726910220395, 19.793737488082506, 19.951187573795664, 18.563887039567238, 17.553944777064597]",2026-03-16 13:22:09.622260
13.710057551920833,"[11.635068396549205, 12.208731839596927, 12.69036092315044, 13.879819480432117, 14.072355128523345, 14.828695466597384, 15.086849815235368, 13.714598377597202, 14.55920355193475, 14.424892539591593]",2026-03-16 13:25:14.285213
12.345243673580166,"[14.660023800189752, 13.625202684364481, 11.513138818202274, 11.71924474992403, 13.450963722108428, 13.517046363975883, 12.965043181338425, 11.43693645627701, 11.478604186142537, 9.086232773278837]",2026-03-16 13:34:45.650399
14.936993869015447,"[12.928246835340266, 11.400169106611395, 11.942690488507013, 13.791351669840799, 14.572889820895453, 15.635170463639758, 17.438162421216965, 17.012554252138187, 16.78742672626766, 17.86127690569697]",2026-03-16 13:47:51.465728
