Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-05-11 12:45:14.792121,,,initialize,0
2026-05-11 13:05:00.171601,,,block_start,0
2026-05-11 13:05:11.799823,,,start,0
2026-05-11 13:05:14.696540,,,exit,0
2026-05-11 13:05:16.783349,,,block_end,0
2026-05-11 13:05:16.813604,,,imaging_stop,0
2026-05-11 13:05:38.071509,,,initialize,0
2026-05-11 13:09:10.083824,,,block_start,0
2026-05-11 13:09:35.637192,,,start,0
2026-05-11 13:09:35.639614,,,start,0
2026-05-11 13:09:37.108265,,,exit,0
2026-05-11 13:09:39.201297,,,block_end,0
2026-05-11 13:09:39.232263,,,imaging_stop,0
2026-05-11 13:09:53.908,,,initialize,0
2026-05-11 13:13:01.370268,,,block_start,0
2026-05-11 13:13:03.947601,,,start,0
2026-05-11 13:13:03.951577,,,start,0
2026-05-11 13:13:16.279710,,,drink,0
2026-05-11 13:13:16.920315,,,start,0
2026-05-11 13:14:48.004836,,,eat,0
2026-05-11 13:15:06.721332,,,start,0
2026-05-11 13:16:33.973708,,,exit,0
2026-05-11 13:16:36.558394,,,block_end,0
2026-05-11 13:16:36.590077,,,imaging_stop,0
2026-05-11 13:17:22.846572,,,initialize,0
2026-05-11 13:18:22.052754,,,block_start,0
2026-05-11 13:18:23.973595,,,start,0
2026-05-11 13:18:23.975703,,,start,0
2026-05-11 13:18:28.082461,,,eat,0
2026-05-11 13:18:33.405656,,,start,0
2026-05-11 13:18:58.372631,,,eat,0
2026-05-11 13:19:20.269235,,,start,0
2026-05-11 13:19:27.409425,,,eat,0
2026-05-11 13:19:32.591500,,,start,0
2026-05-11 13:19:43.552686,,,exit,0
2026-05-11 13:19:45.138357,,,block_end,0
2026-05-11 13:19:45.168760,,,imaging_stop,0
2026-05-11 13:23:00.311579,,,block_start,0
2026-05-11 13:23:02.594759,,,start,0
2026-05-11 13:24:12.936708,,,eat,0
2026-05-11 13:24:41.094431,,,start,0
2026-05-11 13:24:48.941341,,,eat,0
2026-05-11 13:25:02.663702,,,start,0
2026-05-11 13:25:07.047743,,,eat,0
2026-05-11 13:25:43.925677,,,start,0
2026-05-11 13:28:43.413578,,,exit,0
2026-05-11 13:28:45.006813,,,block_end,0
2026-05-11 13:28:45.037168,,,imaging_stop,0
2026-05-11 13:33:22.341910,,,block_start,0
2026-05-11 13:33:24.415927,,,start,0
