m,w,Date_Time
38.43217409862001,"[37.33515584948815, 37.63651473361649, 35.844077441085254, 40.476473535627214, 41.37936133837792, 38.60020784571167, 36.34852663835078, 38.91821062472019, 39.308675238755804, 38.47453774046659]",2026-08-27 17:22:36.227935
38.74028912823106,"[38.12101445409185, 37.8747196054643, 37.18167826133351, 38.776041606257635, 40.08041262941063, 39.13345040119326, 39.13721992442396, 38.841051383820975, 39.06539600871282, 39.19190700760168]",2026-08-27 17:48:36.451849
39.98820719155441,"[41.67004957213012, 39.7143339310444, 38.43115922698097, 40.07623715752431, 40.0107054459752, 39.29026256759045, 40.71801298571757, 41.92614518115749, 38.089002502963424, 39.956163344460194]",2026-09-07 18:19:54.442792
38.75668655428461,"[42.58317308026881, 40.473689887703, 36.71356146874543, 36.616771710714026, 40.49935164200432, 41.73830693893836, 38.02927005792307, 38.62636253766623, 38.75707800477396, 33.529300214108915]",2026-09-07 18:29:52.084030
39.150320467467274,"[40.453276469592126, 39.650426014117734, 36.580584287699295, 40.356776674886156, 38.027008343984654, 38.997805557553086, 39.36460916423291, 39.51457819614975, 39.497760323274306, 39.06037964318273]",2026-09-07 19:40:04.114038
32.840425642964675,"[33.160814820141546, 32.51199288314014, 31.857400675962502, 32.43773327549532, 31.698036832301447, 34.63281364173059, 34.72966139242708, 32.7242460373612, 37.478977658905706, 27.172579212181244]",2026-09-14 12:56:56.292806
32.09930837947616,"[31.281098566653288, 32.34561192700347, 30.19588182486679, 31.247926762223113, 32.27628169589111, 33.81375423636419, 33.43610600131296, 33.23031902924918, 32.66781917423084, 30.498284576966704]",2026-09-14 13:11:30.869986
30.813213744725566,"[31.244824154640924, 30.460734326322406, 29.884026268357577, 31.07902312515513, 31.111122065281183, 31.62592295326487, 31.071542071358817, 28.475065473718885, 30.604353161412146, 32.57552384774374]",2026-09-14 13:50:05.925041
33.65361619062421,"[31.141017284133905, 30.674437297170655, 31.95117481540935, 36.358124424422805, 32.71653301290453, 34.373006502137606, 35.38634133554788, 34.851909930431994, 35.57319370246051, 33.51042360162287]",2026-09-14 13:54:39.217097
31.203852336756448,"[30.38592378835925, 31.023437155668553, 30.0263112721503, 33.72200984019541, 32.64720278179216, 29.63230910554433, 31.46157174040627, 32.69580063513567, 30.909365583441005, 29.53459146487152]",2026-09-14 14:05:59.177615
38.1441187318628,"[40.182566708962646, 38.43840831011694, 35.4211949272656, 39.148760464776416, 38.9455251699765, 37.68322782534465, 38.36736729538448, 38.01471389898606, 38.08494301640728, 37.15447970140737]",2026-09-14 15:24:54.017863
38.1222757945575,"[36.77622254337271, 39.28362240743791, 36.321792019745345, 38.8756440085458, 37.86138129249412, 37.68244492436597, 38.06502253594965, 38.71419242894159, 39.00560557100738, 38.63683021371457]",2026-09-14 15:30:52.053897
37.311207778440185,"[37.38062209891693, 38.023876740069916, 35.84836889830174, 38.58431785547764, 38.53827167939799, 37.80976782056605, 37.29676470520009, 36.42220631934473, 36.7175049699714, 36.49037669715535]",2026-09-14 16:11:20.384620
36.8037168658908,"[37.795269654294124, 38.1104017963808, 35.458687185244806, 35.16962274611507, 36.3892664855749, 36.56391139648657, 36.36383670193394, 37.823280111531496, 38.74368169913869, 35.61921088220762]",2026-09-14 16:43:41.597511
35.86492000491778,"[37.77587110782228, 34.53758968565656, 35.339135306166476, 35.86014140931455, 36.32257492072403, 36.46065545629789, 35.07210807977007, 36.07103173590604, 35.60949711080542, 35.60059523671446]",2026-09-14 18:13:35.829314
38.82253722549172,"[39.46664725845475, 39.645322659590015, 39.281766642155105, 38.734663839717555, 40.776150632468, 37.582755533080174, 37.527894471907196, 37.77940866039264, 38.878398660137464, 38.5523638970143]",2026-09-15 13:47:02.226677
38.79625205004071,"[36.872374382088154, 37.201192793135526, 37.646373486681405, 39.15679244889107, 40.305105210293, 39.88393348009344, 39.1420043192937, 39.76011914013115, 39.78340319516387, 38.21122204463579]",2026-09-15 14:07:21.364747
33.10994075469335,"[35.54744495916157, 32.987126788203824, 31.17186938196057, 33.471307549021205, 33.150028184435236, 32.47119504325093, 32.730277274530316, 33.157103289575936, 32.905473115760316, 33.507581961033566]",2026-09-15 18:00:16.489944
35.15620324341377,"[36.90615510950175, 37.1410833957721, 33.50792991702409, 35.108788440438055, 35.43589606786534, 34.4311731452206, 33.85142047233866, 34.50821640078963, 35.28769581223367, 35.38367367295384]",2026-09-15 18:01:56.272676
36.52198849889466,"[36.624832691161224, 35.55179440904315, 33.30481060755436, 40.3898614903187, 35.98517359524367, 37.67681963585245, 36.94773585036965, 36.72892952499368, 36.25228781063771, 35.75763937377201]",2026-09-15 18:04:06.694831
37.501322232764,"[37.58551018467184, 37.0286936108321, 34.112967391884276, 38.74269582383221, 37.10475099109465, 37.73168069702544, 37.9630424343929, 38.775954617260005, 37.48561781905824, 38.48230875758834]",2026-09-15 18:07:19.390963
34.58301823985302,"[36.58278800897263, 35.27911289780069, 34.546230592754625, 35.62831573062639, 32.349236468571455, 34.99639865549805, 33.78649768377295, 34.611501337310855, 34.558148085430155, 33.491952937792426]",2026-09-15 18:16:03.905367
37.453124528809596,"[37.87147201621939, 36.54091730477929, 36.26493021162683, 39.66648998234703, 38.25587639675334, 39.00644646465115, 37.766679270405874, 35.911899862905344, 37.4657553312657, 35.780778447142005]",2026-09-15 18:22:03.804508
36.84256615223307,"[38.155404104488866, 37.28012081031991, 35.29511887336489, 37.53717329832123, 38.54833340679071, 37.99087891363501, 37.2907624643635, 37.22563670147, 35.41899120599227, 33.683241743584276]",2026-09-15 18:31:44.154583
37.486760274560474,"[38.395725708612375, 37.78790458582799, 35.29282816309393, 37.67519584123001, 38.42544694946983, 37.77349340855369, 36.826386198673596, 37.75467478873272, 38.00355031095667, 36.93239679045394]",2026-09-15 18:38:05.805336
28.89870479181793,"[28.70700713773722, 28.85027801683643, 27.753375753034756, 29.638224357383276, 29.032201007216607, 29.246802864373713, 28.837954575505293, 28.02028699410099, 29.428000946440292, 29.472916265550733]",2026-09-16 13:42:48.293564
33.146571821596005,"[33.6837926739026, 32.4125354625147, 32.66741322557523, 32.94667690430514, 33.61228771784945, 33.11621846068909, 31.493351720874344, 35.06326419834419, 33.52283403195164, 32.94734381995365]",2026-09-16 14:03:15.678275
32.96698593561886,"[32.49300028532391, 32.89312067809663, 31.70882346800777, 34.73749040221392, 33.50720500871049, 34.282885900591296, 32.76263718164926, 32.11810670186434, 32.658830311142246, 32.50775941858874]",2026-09-16 14:11:04.280150
33.07686173852731,"[32.56615803233207, 30.67907671037767, 31.98660833377794, 33.069824328618914, 33.056167055990755, 32.88105820375839, 34.21593336874752, 33.49093806615339, 35.142656156849284, 33.68019712866717]",2026-09-16 15:09:08.051302
