Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-04-12 16:03:49.986407,,,initialize,0
2026-04-12 16:07:16.492744,,,block_start,0
2026-04-12 16:08:09.288388,,,start,458
2026-04-12 16:09:52.163071,,,eat,1479
2026-04-12 16:13:04.709945,,,start,3391
2026-04-12 16:13:42.935374,,,eat,3771
2026-04-12 16:14:54.539981,,,start,4482
2026-04-12 16:15:35.140733,,,eat,4885
2026-04-12 16:16:38.605863,,,start,5515
2026-04-12 16:17:40.013291,,,eat,6121
2026-04-12 16:18:36.125842,,,start,6678
2026-04-12 16:19:05.888065,,,eat,6974
2026-04-12 16:20:20.229410,,,start,7712
2026-04-12 16:20:54.602525,,,eat,8053
2026-04-12 16:21:38.150449,,,start,8485
2026-04-12 16:22:08.218675,,,eat,8784
2026-04-12 16:23:35.507790,,,start,9651
2026-04-12 16:23:36.245559,,,eat,9658
2026-04-12 16:23:53.100002,,,start,9825
2026-04-12 16:24:19.995473,,,eat,10093
2026-04-12 16:25:33.739232,,,start,10825
2026-04-12 16:26:03.045180,,,exit,11116
2026-04-12 16:26:05.633353,,,block_end,11142
2026-04-13 12:48:05.300347,,,initialize,0
2026-04-13 12:58:11.209899,,,initialize,0
2026-04-13 14:04:27.330927,,,block_start,0
2026-04-13 14:05:23.560139,,,start,513
2026-04-13 14:05:49.480671,,,eat,771
2026-04-13 14:08:58.027529,,,start,2643
2026-04-13 14:09:19.319058,,,eat,2854
2026-04-13 14:11:29.679678,,,start,4149
2026-04-13 14:11:53.601768,,,eat,4386
2026-04-13 14:13:48.082015,,,start,5523
2026-04-13 14:14:02.377327,,,eat,5665
2026-04-13 14:15:22.034990,,,start,6456
2026-04-13 14:15:52.957918,,,eat,6763
2026-04-13 14:16:38.421710,,,start,7214
2026-04-13 14:16:55.855456,,,eat,7388
2026-04-13 14:18:52.750195,,,start,8548
2026-04-13 14:23:02.653943,,,exit,11030
2026-04-13 14:23:06.240450,,,block_end,11065
2026-04-13 14:31:41.279734,,,block_start,0
2026-04-13 14:32:19.362781,,,start,0
2026-04-13 14:32:19.364447,,,start,0
2026-04-13 14:32:51.474252,,,eat,0
2026-04-13 14:34:27.535209,,,start,0
2026-04-13 14:35:10.468341,,,eat,0
2026-04-13 14:35:41.325799,,,start,0
2026-04-13 14:35:42.756602,,,exit,0
2026-04-13 14:35:45.341454,,,block_end,0
2026-04-13 14:36:31.038258,,,initialize,0
2026-04-13 14:50:43.906556,,,initialize,80
2026-04-13 15:00:54.718891,,,block_start,0
2026-04-13 15:01:08.542880,,,start,98
2026-04-13 15:01:19.119926,,,eat,203
2026-04-13 15:02:23.024633,,,start,838
2026-04-13 15:02:45.137697,,,eat,1057
2026-04-13 15:03:36.327655,,,start,1565
2026-04-13 15:04:07.121061,,,eat,1871
2026-04-13 15:05:07.133565,,,start,2467
2026-04-13 15:05:43.134907,,,eat,2825
2026-04-13 15:06:21.979969,,,start,3210
2026-04-13 15:06:42.928941,,,eat,3418
2026-04-13 15:07:43.496646,,,start,4020
2026-04-13 15:08:12.383758,,,eat,4307
2026-04-13 15:09:03.944211,,,start,4819
2026-04-13 15:09:19.761730,,,eat,4976
2026-04-13 15:10:15.520863,,,start,5529
2026-04-13 15:10:40.550904,,,eat,5778
2026-04-13 15:11:54.730762,,,start,6514
2026-04-13 15:12:22.070600,,,eat,6786
2026-04-13 15:13:14.868686,,,start,7310
2026-04-13 15:14:03.599239,,,eat,7794
2026-04-13 15:14:38.689663,,,start,8143
2026-04-13 15:15:32.286680,,,eat,8675
2026-04-13 15:15:45.363856,,,start,8805
2026-04-13 15:16:05.748340,,,eat,9007
2026-04-13 15:16:19.434607,,,start,9143
2026-04-13 15:17:01.253156,,,eat,9558
2026-04-13 15:17:22.373258,,,start,9768
2026-04-13 15:17:46.554923,,,eat,10008
2026-04-13 15:18:54.765675,,,start,10685
2026-04-13 15:19:10.156881,,,exit,10838
2026-04-13 15:19:12.246335,,,block_end,10859
2026-04-13 15:41:21.367065,,,initialize,0
2026-04-13 15:47:52.230482,,,block_start,0
2026-04-13 15:48:19.729688,,,start,256
2026-04-13 15:48:19.731803,,,start,256
2026-04-13 15:49:21.926121,,,eat,873
2026-04-13 15:51:00.167514,,,start,1849
2026-04-13 15:51:24.957600,,,eat,2095
2026-04-13 15:53:44.490767,,,start,3481
2026-04-13 15:53:59.782243,,,eat,3632
2026-04-13 15:55:17.644656,,,start,4406
2026-04-13 15:55:35.399670,,,eat,4582
2026-04-13 15:56:57.296263,,,start,5395
2026-04-13 15:57:19.295546,,,eat,5614
2026-04-13 15:58:55.662101,,,start,6570
2026-04-13 15:59:17.000390,,,eat,6782
2026-04-13 16:00:52.463072,,,start,7730
2026-04-13 16:01:20.999658,,,eat,8014
2026-04-13 16:02:35.435155,,,start,8753
