Date_Time,amount_consumed,latency_to_consumption,Type
2026-03-13 14:23:28.769784,,,initialize
2026-03-13 14:24:47.509963,,,block_start
2026-03-13 14:24:57.837865,,,start
2026-03-13 14:24:57.840144,,,start
2026-03-13 14:25:26.430611,,,exit
2026-03-13 14:25:32.024449,,,block_end
2026-03-13 14:25:54.690007,,,block_start
2026-03-13 14:26:00.975925,,,start
2026-03-13 14:26:00.977509,,,start
2026-03-13 14:26:07.491214,,,drink
2026-03-13 14:26:13.951551,,,start
2026-03-13 14:26:41.547160,,,exit
2026-03-13 14:26:44.636430,,,block_end
2026-03-13 14:26:55.768984,,,block_start
2026-03-13 14:26:58.548415,,,start
2026-03-13 14:26:58.550582,,,start
2026-03-13 14:27:03.712490,,,exit
2026-03-13 14:27:08.302922,,,block_end
2026-03-13 14:31:33.942479,,,block_start
2026-03-13 14:31:36.348605,,,start
2026-03-13 14:31:36.350404,,,start
2026-03-13 14:32:05.686853,,,drink
2026-03-13 14:32:09.061735,,,start
2026-03-13 14:32:11.308386,,,exit
2026-03-13 14:32:15.907837,,,block_end
2026-03-13 14:32:36.063338,,,block_start
2026-03-13 14:32:38.234249,,,start
2026-03-13 14:32:38.235704,,,start
2026-03-13 14:32:50.796949,,,exit
2026-03-13 14:32:59.904984,,,block_end
2026-03-13 14:34:34.214311,,,block_start
2026-03-13 14:34:36.666753,,,start
2026-03-13 14:34:36.668238,,,start
2026-03-13 14:34:58.067481,,,exit
2026-03-13 14:35:12.677920,,,block_end
2026-03-13 14:36:07.909158,,,block_start
2026-03-13 14:36:10.111715,,,start
2026-03-13 14:36:10.113998,,,start
2026-03-13 14:36:41.327287,,,eat
2026-03-13 14:36:58.119778,,,start
2026-03-13 14:37:12.175397,,,eat
2026-03-13 14:37:26.794057,,,start
2026-03-13 14:37:29.248864,,,exit
2026-03-13 14:37:32.341847,,,block_end
2026-03-13 14:37:45.482486,,,block_start
2026-03-13 14:37:47.081121,,,start
2026-03-13 14:37:47.083154,,,start
2026-03-13 14:37:50.404310,,,drink
2026-03-13 14:37:52.993848,,,start
2026-03-13 14:38:04.751709,,,exit
2026-03-13 14:38:17.857555,,,block_end
2026-03-13 14:38:23.982092,,,block_start
2026-03-13 14:38:25.603450,,,start
2026-03-13 14:38:25.605215,,,start
2026-03-13 14:38:42.765098,,,exit
2026-03-13 14:38:52.869888,,,block_end
2026-03-13 14:39:50.093794,,,block_start
2026-03-13 14:39:55.924396,,,start
2026-03-13 14:39:55.926026,,,start
2026-03-13 14:40:34.935505,,,drink
2026-03-13 14:40:35.896609,,,start
2026-03-13 14:40:38.955109,,,exit
2026-03-13 14:40:41.544913,,,block_end
2026-03-13 14:41:38.772262,,,block_start
2026-03-13 14:41:43.019403,,,start
2026-03-13 14:42:09.312782,,,exit
2026-03-13 14:42:13.909051,,,block_end
2026-03-13 14:43:13.142504,,,block_start
2026-03-13 14:43:14.869283,,,start
2026-03-13 14:43:14.870814,,,start
2026-03-13 14:43:29.933121,,,exit
2026-03-13 14:43:32.026791,,,block_end
2026-03-13 14:43:59.698415,,,block_start
2026-03-13 14:44:01.287236,,,start
2026-03-13 14:44:01.289081,,,start
2026-03-13 14:44:07.668577,,,drink
2026-03-13 14:44:09.423734,,,start
