Date_Time,amount_consumed,latency_to_consumption,Type
2026-04-11 13:40:13.590334,,,eat
2026-04-11 13:40:13.591331,,,start
2026-04-11 13:40:13.592383,,,eat
2026-04-11 13:40:13.593909,,,start
2026-04-11 13:40:13.596115,,,eat
2026-04-11 13:40:13.597518,,,start
2026-04-11 13:40:13.600343,,,eat
2026-04-11 13:40:13.601702,,,start
2026-04-11 13:40:13.603319,,,eat
2026-04-11 13:40:13.604417,,,start
2026-04-11 13:40:13.606317,,,eat
2026-04-11 13:40:13.607314,,,start
2026-04-11 13:40:13.608346,,,eat
2026-04-11 13:40:13.609747,,,start
2026-04-11 13:40:13.612611,,,eat
2026-04-11 13:40:13.614092,,,start
2026-04-11 13:40:13.615580,,,eat
2026-04-11 13:40:13.616880,,,start
2026-04-11 13:40:13.618297,,,eat
2026-04-11 13:40:13.619401,,,start
2026-04-11 13:40:13.621351,,,eat
2026-04-11 13:40:13.622611,,,start
2026-04-11 13:40:13.624322,,,eat
2026-04-11 13:40:13.625398,,,start
2026-04-11 13:40:13.627388,,,eat
2026-04-11 13:40:13.629270,,,start
2026-04-11 13:40:13.631389,,,eat
2026-04-11 13:40:13.632977,,,start
2026-04-11 13:40:13.634331,,,eat
2026-04-11 13:40:13.635313,,,start
2026-04-11 13:40:13.636313,,,eat
2026-04-11 13:40:13.637526,,,start
2026-04-11 13:40:13.639300,,,eat
2026-04-11 13:40:13.640391,,,start
2026-04-11 13:40:13.642288,,,eat
2026-04-11 13:40:13.643760,,,start
2026-04-11 13:40:13.645348,,,eat
2026-04-11 13:40:13.647038,,,start
2026-04-11 13:40:13.648479,,,eat
2026-04-11 13:40:13.649960,,,start
2026-04-11 13:40:13.651323,,,eat
2026-04-11 13:40:13.652335,,,start
2026-04-11 13:40:13.654324,,,eat
2026-04-11 13:40:13.655338,,,start
2026-04-11 13:40:13.656372,,,eat
2026-04-11 13:40:13.657444,,,start
2026-04-11 13:40:13.658499,,,eat
2026-04-11 13:40:13.660507,,,start
